,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005951946975117917,0.016922010995246706,0.027771012151020513,0.03850028646172765,0.049111155202684054,0.059604925067944126,0.06998288833121524,0.08024632300499801,0.0903964929979687,0.10043464827062554,0.11036202498921754,0.12017984567797424,0.12988931936965553,0.1394916417544405,0.1489879953271721,0.15837954953297806,0.16766746091128415,0.1768528732382384,0.18593691766756293,0.19492071286985246,0.20380536517033465,0.21259196868511054,0.22128160545589115,0.22987534558324796,0.23837424735839163,0.24677935739349788,0.25509171075059367,0.2633123310690221,0.2714422306915004,0.27948241078878633,0.28743386148296923,0.2952975619694005,0.30307448063727804,0.31076557518890047,0.31837179275760497,0.32589407002440385,0.33333333333333337
1,0.0,1.676017916677821e-53,1.1125824684825236e-52,7.296915724011591e-52,4.7850038749060386e-51,3.1377942863999443e-50,2.057626915454488e-49,1.349300857735685e-48,8.848119117249949e-48,5.802205747087494e-47,3.804830279228723e-46,2.495039659874616e-45,1.6361368175426614e-44,1.0729062662888308e-43,7.03564545397087e-43,4.613665565138501e-42,3.025438118819808e-41,1.98394870230113e-40,1.3009859394836182e-39,8.531291221244337e-39,5.594444005334092e-38,3.6685893046156724e-37,2.4056988456955302e-36,1.5775510572686203e-35,1.0344883120937043e-34,6.783717477337133e-34,4.448462324256872e-33,2.91710512951679e-32,1.9129087123548258e-31,1.2544010515003745e-30,8.225808099688201e-30,5.394121665631895e-29,3.537226761312645e-28,2.3195570913175952e-27,1.521063099128292e-26,9.974460038901367e-26,6.540810379573144e-25,4.2891745773382234e-24,2.8126512599017014e-23,1.8444124777816908e-22,1.2094842459479623e-21,7.931263526018381e-21,5.20097234254145e-20,3.4105679655131414e-19,2.2364998468152778e-18,1.4665978263395165e-17,9.617300834098593e-17,6.30660114671011e-16,4.135590506087473e-15,2.71193760889141e-14,1.77836891338586e-13,1.166175793177637e-12,7.647265819577524e-12,5.014739189185919e-11,3.288444488378768e-10,2.1564166639948815e-09,1.4140828118547228e-08,9.27293056193757e-08,6.080778331060698e-07,3.987505876866101e-06,2.6148302490855875e-05,0.00017146901954929938,0.0011244181023024279,0.0073734373247634245,0.01794256996257102,0.028749222789172652,0.03946519348081642,0.05006521135124804,0.060548436161269516,0.07091598575585488,0.0811691228950688,0.0913091090922256,0.10133719296276303,0.11125460942533,0.12106257977699059,0.13076231183741993,0.14035500009714286,0.14984182586459088,0.1592239574115733,0.16850255011714615,0.177678746609893,0.186753676908636,0.1957284585615943,0.20460419678400607,0.21338198459423266,0.22206290294835962,0.2306480208733137,0.23913839559850913,0.2475350726860414,0.25583908615943685,0.26405145863093993,0.27217320142712004,0.2802053147112814,0.2881487875926581,0.2960045981565911,0.30377371298412187,0.31145708333088457,0.319055619406555,0.3265700210547517,0.33399966677775006
2,0.0,8.39163759075303e-52,5.484948531581722e-51,3.539799329904672e-50,2.2835034552462883e-49,1.4726690542174255e-48,9.494802544328403e-48,6.119835973846451e-47,3.943321991816453e-46,2.5400871679096286e-45,1.635663537131863e-44,1.0529144170754094e-43,6.7754851983119085e-43,4.3584304469263656e-42,2.802567280940783e-41,1.801406109316045e-40,1.1574171611862186e-39,7.43333177566403e-39,4.771825687723317e-38,3.06185559712906e-37,1.9636993117671376e-36,1.2587685394376976e-35,8.064680653917659e-35,5.164020255351554e-34,3.304733410065821e-33,2.1135865703232465e-32,1.3509061517823237e-31,8.628537425398393e-31,5.507318778658143e-30,3.512506156810399e-29,2.238459192353575e-28,1.4253325065428929e-27,9.067675854884388e-27,5.76320893192143e-26,3.659272653201899e-25,2.320908377850008e-24,1.47035367557721e-23,9.303589285956425e-23,5.879014047800185e-22,3.70970593128674e-21,2.3372541908521875e-20,1.470104297915743e-19,9.230029103969803e-19,5.783611373695095e-18,3.616216245034757e-17,2.255666025389146e-16,1.4033025010357145e-15,8.704757675085496e-15,5.3819699892320065e-14,3.315333851196178e-13,2.0337673616798107e-12,1.2416639717421183e-11,7.539048625550174e-11,4.548200044448345e-10,2.723108048981742e-09,1.6155904897922093e-08,9.478865259506204e-08,5.484349406032678e-07,3.11672722393345e-06,1.7292676937235677e-05,9.277130742769682e-05,0.000473094239012194,0.002215374141781375,0.008711094637657594,0.01898245307596958,0.029730272339930433,0.040429616447367166,0.0510183635262816,0.06149100605931173,0.07184814752403905,0.08209099697928535,0.09222080955248649,0.10223883212142525,0.1121462983208248,0.1219444282183157,0.13163442842138529,0.141217492222079,0.15069479974360456,0.16006751808562994,0.16933680146800548,0.1785037913729018,0.18756961668537966,0.19653539383240864,0.20540222692035134,0.21417120787093055,0.2228434165556957,0.23141992092900548,0.2399017771595408,0.24829002976035733,0.25658571171744415,0.2647898446165174,0.272903438766356,0.28092749330870664,0.28886299625719175,0.2967109241395455,0.3044722394479235,0.3121478763571777,0.31973866679081325,0.3272449885945714,0.3346653342217779
3,0.0,2.134995652442174e-50,1.3743894966148075e-49,8.730337629806183e-49,5.541839548636444e-48,3.5159491357137e-47,2.2294105049261917e-46,1.4128241069932384e-45,8.948043207570026e-45,5.663707794007346e-44,3.582587203258417e-43,2.2646740933481646e-42,1.4305957811554902e-41,9.030652223229981e-41,5.696396991546153e-40,3.590439585755776e-39,2.261245753550999e-38,1.4229392496954324e-37,8.946397532968256e-37,5.6197509280379755e-36,3.526758503986373e-35,2.2110864808216176e-34,1.3848010758232103e-33,8.663624598785492e-33,5.414019563803019e-32,3.3792762434338826e-31,2.106614766494023e-30,1.311523112846469e-29,8.153907097251173e-29,5.0619942638599735e-28,3.137674823497327e-27,1.941716527300637e-26,1.1995354225061563e-25,7.396794159676588e-25,4.552255768471252e-24,2.7958053887153173e-23,1.7132598584908122e-22,1.0473889602464597e-21,6.386843381814039e-21,3.883959259083461e-20,2.3549408202185327e-19,1.4233040354413853e-18,8.572545685057242e-18,5.143784756180797e-17,3.0737208720873443e-16,1.8284383395350967e-15,1.0822542548451863e-14,6.37056113561305e-14,3.726935389394836e-13,2.165352739708529e-12,1.248310405881276e-11,7.132944243172319e-11,4.0345933975141426e-10,2.255342149656619e-09,1.2434311529989163e-08,6.74360087404824e-08,3.5853524223423074e-07,1.8600775027296665e-06,9.355927825805421e-06,4.519903363809859e-05,0.00020674164227142472,0.0008745069650199772,0.0032787085178562943,0.009983552869579661,0.020032456576138204,0.030714273407960565,0.04139377293965934,0.051970658106511,0.06243264253402714,0.07277937545316264,0.08301194628973958,0.0931315953088292,0.10313956665635256,0.11303709257433231,0.12282539189055293,0.13250567000033756,0.1420791189983357,0.1515469178237088,0.1609102324051584,0.1701702158044921,0.17932800835861779,0.18838473781997228,0.1973415194954006,0.20619945638350226,0.2149596393104618,0.2236231470643802,0.2321910465281224,0.24066439281068924,0.24904422937708953,0.25733158817649365,0.2655274897674109,0.2736329434330341,0.28164894725055134,0.2895764879287075,0.29741653949403546,0.3051700564835403,0.31283794247785907,0.32042091778548715,0.32791903548535895,0.33533033633108467
4,0.0,3.679274150095877e-49,2.3333145264638637e-48,1.4592248785389024e-47,9.11719166106676e-47,5.691867440882391e-46,3.5505273542592815e-45,2.212907754425566e-44,1.378013438706591e-43,8.57333820188822e-43,5.3289147549568793e-42,3.3090634201740463e-41,2.052736830096988e-40,1.2720576825334432e-39,7.874232102083014e-39,4.868767064686466e-38,3.006903943704396e-37,1.8547657996306585e-36,1.1426295912509147e-35,7.029836185095992e-35,4.319000439499809e-34,2.6496766903342906e-33,1.6231011482894914e-32,9.926835594871658e-32,6.061162436680614e-31,3.694415883877085e-30,2.2477225254527762e-29,1.3649164308559438e-28,8.271648445702893e-28,5.002111462798242e-27,3.0181350028183515e-26,1.8167379241060491e-25,1.0908213896260984e-24,6.5321579451988206e-24,3.900579409182708e-23,2.3221579478730473e-22,1.3780261011495035e-21,8.149483181113644e-21,4.801790885390433e-20,2.818115578243064e-19,1.64689148876646e-18,9.580193654731098e-18,5.545246245967366e-17,3.192399361665034e-16,1.827050588132438e-15,1.0389097064739328e-14,5.865695904278001e-14,3.285886734380189e-13,1.8247368205219175e-12,1.0035056208838044e-11,5.4586637813879005e-11,2.9327220402297356e-10,1.5535000221996244e-09,8.096019940377882e-09,4.139858655092222e-08,2.0700193161459467e-07,1.0076867102246356e-06,4.747946107634148e-06,2.148149913617538e-05,9.228673812366635e-05,0.0003703287365375269,0.0013532356739333821,0.00431920593665663,0.011204625301460347,0.02108654170392346,0.03170085316632998,0.042357808049885176,0.05292214389371583,0.06337335581619852,0.0737096719271585,0.08393197195282637,0.0940414673040455,0.10403939747814271,0.1139269930837957,0.12370547168143871,0.13337603745218368,0.14293988129412805,0.15239818096353694,0.16175210121931635,0.17100279396639256,0.18015139839755978,0.1891990411337673,0.1981468363628594,0.2069958859767838,0.21574727970728574,0.22440209526010338,0.23296139844767563,0.2414262433203483,0.24979767229594058,0.2580767162868796,0.26626439482084585,0.2743617161348251,0.2823696771463092,0.29028926285822554,0.29812144325386963,0.3058671597117594,0.31352727124640517,0.32110236559719574,0.3285922096516104,0.3359946737706724
5,0.0,4.8304975878505695e-48,3.0186263902709e-47,1.859067873379218e-46,1.1435695132963915e-45,7.027121917319718e-45,4.3134643914551545e-44,2.6448017081459177e-43,1.6198012558395277e-42,9.908655919952868e-42,6.053881759218766e-41,3.694027085474052e-40,2.251090209193552e-39,1.3699067257225703e-38,8.32476040909465e-38,5.051393368159398e-37,3.0604407237203285e-36,1.8512419815124716e-35,1.1179446002711145e-34,6.7394566845864875e-34,4.055502595922459e-33,2.435820210690983e-32,1.460124072861445e-31,8.734518822315097e-31,5.213757645984005e-30,3.105133163257334e-29,1.844925041453381e-28,1.0934381674751049e-27,6.46354224659773e-27,3.81019483246386e-26,2.239537842589407e-25,1.3122999991557657e-24,7.664680531333898e-24,4.4612544790834244e-23,2.5871999987898747e-22,1.494556727242184e-21,8.597925238366336e-21,4.9243855698772113e-20,2.807068843803163e-19,1.5920166353213697e-18,8.979863957576797e-18,5.03540267280703e-17,2.80564716239474e-16,1.5525014752509763e-15,8.526401850261353e-15,4.644428772085479e-14,2.507180572475867e-13,1.340068555882514e-12,7.08424833693067e-12,3.6995140287084535e-11,1.905641907089475e-10,9.665478084384736e-10,4.816989913770489e-09,2.3527936470799742e-08,1.1227197873232311e-07,5.213298203537689e-07,2.343713762539542e-06,1.0133915871672623e-05,4.1773519976707465e-05,0.000162189397735798,0.0005830463408415657,0.001892535077280804,0.005340773867111993,0.01238466559948511,0.022140797469641427,0.032689423709771126,0.04332179337417765,0.05387286594972751,0.06431315781960135,0.07463903991859847,0.0848510752174353,0.09495042650080357,0.10493832549956508,0.11481600074667625,0.12458466847787224,0.13424553165395625,0.14379977997680085,0.15324859002086094,0.16259312537640944,0.17183453679265084,0.18097396231941343,0.19001252744729413,0.19895134524625918,0.2077915165027147,0.21653412985506376,0.22518026192776316,0.23373097746387733,0.24218732945605106,0.2505503592754529,0.2588210967964602,0.26700056050657955,0.27508975755375464,0.28308968352172703,0.2910013210609281,0.2988256339591491,0.30656354436975575,0.31421585419237835,0.32178300988972025,0.3292645480515864,0.3366583472048784
6,0.0,5.152465985475381e-47,3.1735397200161644e-46,1.9251861902772768e-45,1.1662123646194548e-44,7.055477269572453e-44,4.26286959461263e-43,2.572086259792261e-42,1.5497326892328243e-41,9.323838788649265e-41,5.601150241147062e-40,3.3595477022243315e-39,2.0117817871465827e-38,1.2026835784069334e-37,7.17736193695319e-37,4.275552024529674e-36,2.542158605506861e-35,1.5085633880338046e-34,8.933884578310287e-34,5.2795412154666464e-33,3.113092195499507e-32,1.8314120296346648e-31,1.0748156542042623e-30,6.291993713241667e-30,3.6736534477497323e-29,2.1389927470764966e-28,1.241833312045759e-27,7.187824174133117e-27,4.147097042576868e-26,2.384683331317427e-25,1.3664012843890021e-24,7.800124890000362e-24,4.435147184240409e-23,2.511290771925465e-22,1.4156589048159908e-21,7.942785447159203e-21,4.434125383549128e-20,2.4621770719063815e-19,1.359399517893276e-18,7.459586893593794e-18,4.0665496442603534e-17,2.2012142235521045e-16,1.18243885704806e-15,6.2994127364189965e-15,3.3259494791668276e-14,1.7388921607277992e-13,8.994320270653268e-13,4.59769593203214e-12,2.3198167378191632e-11,1.1536818193692828e-10,5.645553903578394e-10,2.712999852210264e-09,1.2772640146658063e-08,5.8741874459718586e-08,2.62977840543839e-07,1.14101971897674e-06,4.771688968940948e-06,1.909760618757193e-05,7.247446973738997e-05,0.0002575727023062773,0.0008428388796837747,0.002479833545593987,0.0063465999644554925,0.013531522601828593,0.023192741655856334,0.033679336055364974,0.044285737905952166,0.05482286158201824,0.06525206121576813,0.0755674829347377,0.08576925747343715,0.09585847388888015,0.10583635163719314,0.11570411646024858,0.12546298316596283,0.1351141534818212,0.14465881591283028,0.15409814585259235,0.16343330572389225,0.17266544512136922,0.18179570095303188,0.1908251975802589,0.19975504695625992,0.2085863487630081,0.21732019054665874,0.22595764785145978,0.2344997843521165,0.24294765198437165,0.2513022910726368,0.2595647304493577,0.26773598754282785,0.27581706833536224,0.28380896679747475,0.291712662301648,0.29952910974861713,0.30725920568527065,0.3149036849550076,0.32246285424028004,0.3299360795152489,0.33732135729737645
7,0.0,4.650117349209198e-46,2.8236184415635587e-45,1.687643128857541e-44,1.0069988562729505e-43,5.9995790666317754e-43,3.568913889638955e-42,2.1195932412424408e-41,1.2567436244143127e-40,7.438646178166604e-40,4.395094455497941e-39,2.5920435984392625e-38,1.5257640320927585e-37,8.963405533251767e-37,5.25493370453453e-36,3.0742278320718707e-35,1.7945005273433448e-34,1.0450855741867552e-33,6.071842951165854e-33,3.518899184153787e-32,2.0340669473387794e-31,1.1725931742052805e-30,6.740646826567529e-30,3.8634277673332e-29,2.2075073789833167e-28,1.2572645201984631e-27,7.136392486338147e-27,4.036322115626123e-26,2.2744159275629146e-25,1.2765764645445997e-24,7.135523499009478e-24,3.971080200016452e-23,2.199828174347294e-22,1.2126916627065247e-21,6.650701777196359e-21,3.6274575470240816e-20,1.966999564538874e-19,1.0600046617458008e-18,5.674539938859895e-18,3.0162797572017536e-17,1.5911368952017724e-16,8.325114740339377e-16,4.317600568416811e-15,2.21795826642557e-14,1.1276458560327722e-13,5.668968767088158e-13,2.815115223147425e-12,1.3792170646574947e-11,6.65761371482975e-11,3.1612898734338567e-10,1.4738860398255175e-09,6.732370064488053e-09,3.0050239971345595e-08,1.3066177415820162e-07,5.513458503812918e-07,2.24724966257701e-06,8.796467051133601e-06,3.282493891309321e-05,0.00011567375832251108,0.0003802220796680323,0.0011468335743668318,0.0031056182945681677,0.007339285971940207,0.014651214784308487,0.024240849122116388,0.0346699632847345,0.0452496027380611,0.05577215829147693,0.0661900785414695,0.07649500490579066,0.08668652025796149,0.09676561049150117,0.10673347681322393,0.11659134112198333,0.12634041663109874,0.13598190381108935,0.1455169899678265,0.15494684931478336,0.16427264310836923,0.1734955197898091,0.1826166151264367,0.19163705235154527,0.20055794230270796,0.20938038355857164,0.21810546257413307,0.2267342538144853,0.2352678198869148,0.24370721167076023,0.2520534684424008,0.2603076179841636,0.268470676631292,0.27654364907745577,0.2845275272725223,0.292423286099451,0.30023186847301253,0.3079541391548219,0.3155907591583193,0.3231419044809259,0.33060682679626535,0.33798370471117656
8,0.0,3.6515621028440054e-45,2.1864181441369508e-44,1.2878152738526308e-43,7.57091157491541e-43,4.4431297695630404e-42,2.6028745914791174e-41,1.5220029862721457e-40,8.88278356670421e-40,5.1739939500332505e-39,3.0075752950925456e-38,1.7445756336631135e-37,1.0097481862821396e-36,5.831118259293463e-36,3.359461700078412e-35,1.9307593563728757e-34,1.1068442849143651e-33,6.328514187465566e-33,3.6085122912731763e-32,2.0517166246082777e-31,1.1631021537020527e-30,6.573170452499113e-30,3.702799329577743e-29,2.0788421958125185e-28,1.16300751995587e-27,6.482494246813042e-27,3.599351655621191e-26,1.990431754249592e-25,1.0960324739513224e-24,6.008390965625039e-24,3.278307273670037e-23,1.779867536527901e-22,9.612867406932234e-22,5.163164630916327e-21,2.756994310449558e-20,1.4630494826059805e-19,7.712895434373724e-19,4.037634629168052e-18,2.097902391977852e-17,1.0813566361875483e-16,5.526255758661757e-16,2.798317946314016e-15,1.4030122318736409e-14,6.95956468323638e-14,3.4125140204939327e-13,1.6523592319358917e-12,7.891863522777983e-12,3.713109102629917e-11,1.71843801973876e-10,7.809495467013403e-10,3.4780700974298487e-09,1.514481649471028e-08,6.429825115492844e-08,2.652840597502499e-07,1.059433340892772e-06,4.0755226344864425e-06,1.5012296849759656e-05,5.2556712714793775e-05,0.00017323466857931217,0.0005311748820836682,0.0014918087447940765,0.0037626314628987573,0.008320959001137891,0.01574841023117268,0.025284233166432035,0.03566074131752554,0.0462133155472548,0.056720773234201674,0.06712722144676588,0.0774216100380755,0.08760286524922514,0.09767183737000715,0.10762970195731889,0.11747767563000211,0.1272169697580388,0.13684878351623336,0.14637430300653698,0.1557947012626281,0.1651111383755954,0.17432476163439178,0.18343670566681863,0.19244809257921514,0.20136003209463652,0.21017362168950682,0.218889946728744,0.22751008059930375,0.23603508484185304,0.2444660092792894,0.25280389213674737,0.26104976013164677,0.2692046284515378,0.2772695003194146,0.285245365113553,0.2931331917479464,0.300933907812087,0.30864834073062175,0.31627707416862005,0.32382016762772015,0.3312768080659742,0.33864539010862627
9,0.0,2.546378967475618e-44,1.5037873576148245e-43,8.73071146135198e-43,5.0581336892785716e-42,2.9247114433714085e-41,1.6877274220126731e-40,9.718960204991168e-40,5.584775748524519e-39,3.2020553609747776e-38,1.831707894467275e-37,1.0453297021393334e-36,5.95091341364663e-36,3.37916071354171e-35,1.9137642483861383e-34,1.0808853507256413e-33,6.087475393992829e-33,3.418325081578866e-32,1.9136274095073017e-31,1.0678630025753134e-30,5.93923859452132e-30,3.2918680711037145e-29,1.8179666996561518e-28,1.0002129353539641e-27,5.481363568153888e-27,2.991547168925235e-26,1.625661728092873e-25,8.79430465323447e-25,4.734924863104536e-24,2.5366518920758195e-23,1.3518630523414737e-22,7.164856145699211e-22,3.775323641641994e-21,1.977109800569829e-20,1.0286862305596775e-19,5.315479930199706e-19,2.7266279938195098e-18,1.3878169259791203e-17,7.005525613233236e-17,3.5051659834749816e-16,1.7372704089609714e-15,8.523536241153858e-15,4.136518168235673e-14,1.9840078858688273e-13,9.395740174307385e-13,4.388653353344711e-12,2.0193721429911193e-11,9.140833461183521e-11,4.063991221865245e-10,1.771441723119342e-09,7.554271333179859e-09,3.1439947153966306e-08,1.273323805056473e-07,5.001210004422102e-07,1.8971853034334644e-06,6.916591560584244e-06,2.408788139849221e-05,7.954201231374317e-05,0.00024675572003971555,0.0007108618214038832,0.0018744777795787104,0.004445287731046198,0.00929336261151874,0.016826770858765164,0.02632243014888607,0.03665118500890019,0.047176783100234265,0.05766871371928062,0.0680635001317707,0.07834730265350465,0.08851829424936132,0.09857715562632981,0.10852502800829357,0.11836312088357964,0.12809264343102664,0.1377147934709105,0.14723075589285123,0.15664170255046406,0.1659487923704775,0.17515317149069948,0.1842559734005385,0.1932583190805094,0.20216131714026586,0.21096606395510747,0.21967364380093501,0.22828512898751796,0.23680157998945656,0.24522404557228952,0.25355356290371156,0.26179115761200816,0.2699378436550455,0.27799462253286333,0.2859624803508559,0.29384237834704324,0.30163522538381704,0.30934180693088575,0.31696262881397647,0.3244976511992517,0.3319460380088913,0.33930641415141094
