close_siu9,close_sih9,close_sim9,close_siz9,return_siu9,return_sih9,return_sim9,return_siz9,alpha_siu9,alpha_sih9,alpha_sim9,alpha_siz9
64829.0,64988.0,67300.0,61893.0,-0.010108259150112264,0.0012942191544433879,-0.004084290280573,-0.01897289586305273,0.15239142819561083,-0.5,0.06157448278470965,0.2860340890196795
65235.0,64672.0,67299.0,60949.0,0.006262629378827267,-0.004862436142056947,-1.4858841010378931e-05,-0.015252128673678755,-0.5,0.12077931849845519,0.00036908262411674186,0.3788515988774281
65901.0,64044.0,67110.0,61523.0,0.010209243504253784,-0.009710539336961865,-0.002808362679980414,0.009417709888595471,-0.26008222722873914,0.38783510422161,0.11216489577838999,-0.2399177727712609
64500.0,64625.0,65571.0,62350.0,-0.021259161469476928,0.009071888076947143,-0.022932498882431873,0.013442127334492682,0.24053363576051592,-0.20147201445765944,0.2594663642394841,-0.29852798554234056
64604.0,67591.0,65898.0,61597.0,0.0016124031007751505,0.04589555125725342,0.004986960699089549,-0.01207698476343222,-0.015357707494342487,-0.43714282809407223,-0.04749946441158528,0.5
64168.0,66568.0,65150.0,62250.0,-0.006748808123336003,-0.015135151129588298,-0.011350875595617427,0.01060116564118374,0.10153214472242407,0.22770011041972119,0.17076774485785476,-0.5
63847.0,66562.0,64300.0,62270.0,-0.005002493454681511,-9.013339742824922e-05,-0.01304681504221028,0.0003212851405622885,0.13788994953168682,0.0024844589473414966,0.3596255915209717,-0.5
63599.0,67109.0,64650.0,65500.0,-0.0038842858709101646,0.008217902106306907,0.005443234836703059,0.051870884856271005,0.5,-0.06270142352297359,-0.04153110713854691,-0.3957674693384795
62503.0,67000.0,64238.0,65209.0,-0.017232975361247793,-0.0016242232785468325,-0.0063727764887857585,-0.004442748091603055,0.29038412203309155,0.02736896216930357,0.10738442241207886,0.07486249338552603
61997.0,66255.0,62890.0,66806.0,-0.008095611410652293,-0.011119402985074633,-0.020984464024409233,0.024490484442331484,0.10069299066573402,0.13830282657977047,0.2610041827544955,-0.5
61200.0,64534.0,64080.0,66500.0,-0.012855460748100733,-0.025975398083163515,0.01892192717443164,-0.004580426907762725,0.14806588343620064,0.2991779400329014,-0.5,0.052756176530898015
60978.0,63666.0,63737.0,66010.0,-0.0036274509803921884,-0.01345027427402612,-0.005352684144818931,-0.00736842105263158,0.06086566025219112,0.22568460020186115,0.08981366153723057,0.12363607800871716
64800.0,62112.0,60291.0,66898.0,0.06267834300895414,-0.02440863255112624,-0.054065927169462014,0.013452507195879315,-0.41164877865093624,0.15551939786622654,0.34448060213377346,-0.08835122134906377
65157.0,64300.0,61363.0,71500.0,0.005509259259259158,0.035226687274600765,0.017780431573535038,0.06879129420909447,-0.021637577527782573,-0.1383525699339884,-0.06983252167761157,-0.27017733086061746
65029.0,63003.0,59492.0,71348.0,-0.0019644857804994587,-0.020171073094867764,-0.030490686570082914,-0.002125874125874172,0.01793981489557102,0.1842035820055457,0.2784429790920095,0.01941362400687379
65900.0,62477.0,59775.0,69359.0,0.013394024204585575,-0.008348808786883155,0.004756942109863438,-0.0278774457588159,-0.368961739351676,0.11523146529475214,-0.13103826064832402,0.38476853470524786
65500.0,61497.0,60350.0,68836.0,-0.006069802731411222,-0.015685772364230077,0.009619406106231798,-0.007540477803889889,0.10359420690949726,0.26771136060587003,-0.5,0.1286944324846327
65195.0,61457.0,60001.0,70100.0,-0.0046564885496183095,-0.0006504382327593428,-0.005782932891466475,0.018362484746353713,0.2099435288888651,0.029325809878975616,0.26073066123215927,-0.5
65978.0,60500.0,62999.0,69985.0,0.012010123475726608,-0.01557186325398241,0.04996583390276821,-0.0016405135520685121,-0.09689340821618377,0.45234494426441446,-0.40310659178381625,0.04765505573558552
65500.0,60300.0,67350.0,68600.0,-0.007244839188820462,-0.0033057851239669533,0.06906458832679885,-0.019789954990355074,0.11939190607461615,0.054477949991293684,-0.5,0.3261301439340902
65292.0,60150.0,64700.0,69011.0,-0.003175572519083958,-0.0024875621890547706,-0.039346696362286604,0.005991253644314964,0.03527643232114389,0.027633542827150002,0.4370900248517061,-0.5
64437.0,59880.0,64401.0,68899.0,-0.013095019297923227,-0.0044887780548628076,-0.0046213292117465166,-0.0016229296778774716,0.2747815257086779,0.09419102442089927,0.09697243377160808,0.034055016098814714
64877.0,59750.0,64457.0,68675.0,0.006828375001939779,-0.0021710086840347476,0.0008695517150354437,-0.003251135720402365,-0.4435203953606147,0.20019834608777132,-0.0564796046393853,0.2998016539122287
66761.0,58920.0,64990.0,69100.0,0.029039567180973336,-0.01389121338912136,0.008269078610546599,0.00618856934838008,-0.33380949892508555,0.5,-0.09505296585023634,-0.07113753522467813
65700.0,59056.0,65020.0,69124.0,-0.015892512095385003,0.0023082145281738686,0.000461609478381364,0.0003473227206947094,0.5,-0.3702447671127528,-0.07404359158745992,-0.0557116412997873
65051.0,59250.0,66449.0,69632.0,-0.009878234398782326,0.0032850176104037843,0.021977852968317446,0.007349111741218772,0.5,-0.05036519366066288,-0.33695978295191653,-0.11267502338742058
64650.0,59900.0,65656.0,70987.0,-0.006164394090790282,0.010970464135021007,-0.01193396439374561,0.019459443933823595,0.17030257456933004,-0.18025792437823732,0.32969742543067,-0.3197420756217627
65129.0,60150.0,65198.0,70996.0,0.00740912606341837,0.004173622704507496,-0.006975752406482294,0.0001267837773113456,-0.31637155602902317,-0.1782147446272351,0.5,-0.005413699343741703
65800.0,60900.0,64556.0,71064.0,0.01030263016474997,0.012468827930174564,-0.009846927819871731,0.0009578004394614759,-0.21708706468473202,-0.26273109022993735,0.5,-0.020181845085330618
65970.0,61200.0,64369.0,70040.0,0.0025835866261398888,0.0049261083743843415,-0.002896709833323019,-0.014409546324439915,-0.17201674808094977,-0.32798325191905026,0.08368967288236007,0.41631032711763993
66123.0,60667.0,65633.0,69627.0,0.0023192360163710735,-0.008709150326797421,0.01963678168062266,-0.005896630496858957,-0.05281549797367462,0.29814052504100197,-0.44718450202632537,0.20185947495899803
68500.0,59555.0,64555.0,69879.0,0.035948157222146504,-0.01832956961774934,-0.01642466442186097,0.0036192856219570135,-0.45426434763276125,0.2637026843529144,0.2362973156470856,-0.04573565236723875
69977.0,59104.0,65200.0,69168.0,0.021562043795620545,-0.007572831836117899,0.00999148013321971,-0.01017473060576135,-0.3416741002407121,0.2133485052079081,-0.15832589975928793,0.2866514947920919
69333.0,59354.0,63701.0,70756.0,-0.009203023850693826,0.00422983216025985,-0.022990797546012298,0.02295859356928065,0.14293152305981643,-0.07778736809435963,0.35706847694018357,-0.4222126319056404
69600.0,59403.0,64199.0,70512.0,0.0038509800527886107,0.000825555143713963,0.007817773661324079,-0.0034484708010628085,-0.15410936677687018,-0.033037247322280694,-0.31285338590084916,0.5
70638.0,58497.0,64685.0,69160.0,0.014913793103448203,-0.01525175496187059,0.007570211374009039,-0.019174041297935096,-0.33165340094112167,0.22151637171683938,-0.16834659905887833,0.27848362828316064
69950.0,58567.0,64999.0,69720.0,-0.00973980010759079,0.0011966425628664457,0.004854293885754091,0.00809716599190291,0.5,-0.04228986070382781,-0.17155282505766523,-0.286157314238507
70100.0,58890.0,65469.0,69215.0,0.0021443888491778917,0.005515051138012872,0.007230880475084245,-0.007243258749282888,-0.07200613494554242,-0.1851891351829999,-0.24280472987145768,0.5
70800.0,59751.0,64500.0,69780.0,0.009985734664764712,0.014620478858889507,-0.014800898134995188,0.008162970454381302,-0.1523647136202405,-0.22308274244316398,0.5,-0.12455254393659551
70300.0,59005.0,65516.0,69400.0,-0.007062146892655385,-0.012485146692105542,0.015751937984496145,-0.005445686443106945,0.14128260985246444,0.24977306984169662,-0.5,0.10894432030583892
71100.0,59143.0,63777.0,69535.0,0.011379800853485111,0.002338784848741726,-0.026543134501495813,0.0019452449567722851,-0.3632508899394681,-0.0746555839263385,0.5,-0.062093526134193444
70925.0,59505.0,65000.0,69807.0,-0.0024613220815752346,0.006120758162419859,0.019176192044153773,0.003911699144315772,0.5,-0.10477646687612897,-0.32826221804689265,-0.0669613150769784
71207.0,59600.0,65050.0,70140.0,0.003976031018681603,0.001596504495420481,0.0007692307692308553,0.004770295242597422,-0.17890609269051488,-0.0718365575863212,-0.034612423960928854,-0.21464492576223507
72221.0,60080.0,64983.0,70881.0,0.014240173016697888,0.008053691275167862,-0.0010299769408147474,0.010564585115483416,-0.2166896684648928,-0.12255129837877503,0.5,-0.16075903315633217
72520.0,59799.0,65355.0,71650.0,0.004140070062724099,-0.004677097203728331,0.005724574119384984,0.010849169735190012,-0.09993500181216095,0.5,-0.13818252259677102,-0.26188247559106803
